1	team72	11	645	2/82	1/53	1/12	1/79	2/71	1/49	1/14	1/35	1/8	2/71	1/75	14/11
2	team62	11	645	1/12	1/85	1/6	4/116	1/0	1/28	1/3	1/43	1/7	1/17	1/30	14/11
3	team74	11	660	1/24	1/48	1/44	1/70	1/41	1/36	1/40	1/22	1/38	1/30	1/36	11/11
4	team76	10	600	1/33	1/88	1/24	0/--	1/5	1/65	1/12	1/52	1/17	1/42	1/83	10/10
5	team67	9	520	2/107	0/--	1/15	0/--	1/2	2/64	1/8	1/113	2/58	2/96	1/88	13/9
6	team22	9	540	1/21	0/--	1/17	4/--	1/4	1/47	1/36	1/94	1/29	1/12	1/58	13/9
7	team73	8	470	1/11	0/--	1/29	2/116	1/12	1/42	1/23	0/--	1/20	2/53	0/--	10/8
8	team83	8	475	1/84	0/--	1/17	1/101	1/66	2/48	1/76	0/--	1/46	3/--	1/105	12/8
9	team65	8	475	1/39	0/--	1/71	1/84	1/62	1/103	1/45	0/--	1/67	0/--	2/110	9/8
10	team19	7	410	1/34	0/--	2/47	1/52	2/--	1/104	1/89	0/--	1/40	2/108	0/--	11/7
11	team61	7	410	2/112	0/--	1/22	1/56	1/3	0/--	1/34	0/--	1/28	0/--	2/105	9/7
12	team70	7	410	1/19	1/48	1/64	1/--	0/--	0/--	1/100	1/110	2/119	0/--	2/86	10/7
13	team80	7	415	2/--	0/--	1/33	0/--	1/79	1/26	1/10	1/106	1/15	3/--	2/117	13/7
14	team63	7	415	3/--	0/--	1/31	0/--	1/34	1/78	1/33	0/--	1/46	2/102	1/119	11/7
15	team96	7	420	1/25	0/--	1/12	2/--	1/10	1/70	1/36	0/--	1/76	0/--	1/94	9/7
16	team5	6	335	1/21	0/--	1/97	1/113	6/114	0/--	1/84	0/--	1/103	0/--	0/--	11/6
17	team66	6	340	2/68	0/--	1/37	2/52	1/1	0/--	1/8	0/--	3/39	1/--	0/--	11/6
18	team94	6	340	2/32	0/--	1/42	3/--	2/98	0/--	2/44	0/--	2/38	2/--	1/119	15/6
19	team64	6	360	3/--	0/--	1/80	1/64	1/21	1/50	1/26	0/--	1/36	1/--	0/--	10/6
20	team81	6	360	1/63	0/--	1/96	0/--	2/--	1/71	1/53	1/103	1/24	0/--	0/--	8/6
21	team4	6	360	1/35	0/--	1/15	0/--	0/--	1/110	1/46	0/--	1/84	1/72	0/--	6/6
21	team24	6	360	1/57	0/--	1/10	1/--	1/82	0/--	1/71	0/--	1/51	1/110	0/--	7/6
23	team75	5	280	1/54	0/--	2/119	0/--	3/87	0/--	1/10	0/--	2/28	0/--	0/--	9/5
24	team82	5	290	2/32	0/--	2/25	1/--	1/1	0/--	1/41	0/--	1/49	2/--	0/--	10/5
25	team15	5	290	0/--	0/--	1/22	2/--	1/--	2/79	1/43	0/--	1/67	0/--	2/103	10/5
26	team68	5	290	1/28	0/--	1/51	0/--	0/--	1/93	1/43	0/--	3/116	2/--	0/--	9/5
27	team69	5	295	1/10	0/--	1/34	2/84	3/--	2/--	1/16	0/--	1/63	2/--	0/--	13/5
28	team20	5	295	1/66	0/--	1/17	2/107	1/7	0/--	0/--	0/--	1/11	3/--	0/--	9/5
29	team12	5	300	1/--	0/--	1/6	1/56	0/--	0/--	1/70	0/--	1/52	0/--	1/88	6/5
30	team71	5	300	1/14	0/--	1/23	3/--	1/14	1/99	1/39	0/--	0/--	0/--	0/--	8/5
31	team78	4	225	1/--	0/--	2/46	0/--	3/58	0/--	1/110	0/--	1/44	1/--	0/--	9/4
32	team89	4	225	0/--	0/--	1/37	1/--	3/115	2/119	1/93	0/--	0/--	0/--	0/--	8/4
33	team11	4	235	1/46	0/--	1/59	0/--	0/--	0/--	1/78	0/--	2/115	0/--	0/--	5/4
34	team95	4	240	1/75	0/--	1/33	2/--	1/--	0/--	1/45	0/--	1/52	1/--	0/--	8/4
35	team16	4	240	0/--	0/--	1/28	0/--	1/12	0/--	1/108	0/--	1/83	0/--	0/--	4/4
36	team21	3	170	2/93	0/--	2/--	0/--	2/29	0/--	0/--	0/--	1/86	0/--	0/--	7/3
37	team10	3	170	0/--	0/--	2/51	2/--	0/--	1/99	1/--	0/--	2/72	0/--	0/--	8/3
38	team18	3	175	0/--	0/--	1/84	2/--	1/--	0/--	2/81	0/--	1/95	0/--	0/--	7/3
39	team79	3	180	2/--	0/--	1/62	2/--	1/--	0/--	1/79	0/--	1/50	0/--	0/--	8/3
